"기준날짜","카메라코드","카메라명칭","설명","계수시작시간","계수끝시간","진입계수","진출계수","주간 진입계수","주간 진출계수","월간 진입계수","월간 진출계수","데이터입력시간"
"20190930","2","계동길 69","계동교회 앞","2019-09-30 23:40:38.121","2019-09-30 23:50:38.03","15418","16916","","","","","2019-09-30 23:50:38.03"
"20190930","1","율곡로3길 50","덕성여고 앞","2019-09-30 23:40:38.121","2019-09-30 23:50:38.026","8578","7478","","","","","2019-09-30 23:50:38.026"
"20190929","4","북촌로5가길 38","삼청파출소 사잇길","2019-09-29 23:40:37.353","2019-09-29 23:50:37.364","6520","7662","","","","","2019-09-29 23:50:37.364"
"20190929","3","북촌로11길 1","돈미약국 앞","2019-09-29 23:40:37.353","2019-09-29 23:50:37.354","8761","7776","","","","","2019-09-29 23:50:37.354"
"20190929","2","계동길 69","계동교회 앞","2019-09-29 23:40:37.353","2019-09-29 23:50:37.367","13566","14464","","","","","2019-09-29 23:50:37.367"
"20190929","1","율곡로3길 50","덕성여고 앞","2019-09-29 23:40:37.353","2019-09-29 23:50:37.361","11257","13187","","","","","2019-09-29 23:50:37.361"
"20190928","4","북촌로5가길 38","삼청파출소 사잇길","2019-09-28 23:40:37.795","2019-09-28 23:50:37.872","7726","8780","","","","","2019-09-28 23:50:37.872"
"20190928","3","북촌로11길 1","돈미약국 앞","2019-09-28 23:40:37.795","2019-09-28 23:50:37.876","10038","8834","","","","","2019-09-28 23:50:37.876"
"20190928","2","계동길 69","계동교회 앞","2019-09-28 23:40:37.795","2019-09-28 23:50:37.864","16320","18296","","","","","2019-09-28 23:50:37.864"
"20190928","1","율곡로3길 50","덕성여고 앞","2019-09-28 23:40:37.795","2019-09-28 23:50:37.879","11710","13630","","","","","2019-09-28 23:50:37.879"
